item	itemLabel	itemDescription
http://www.wikidata.org/entity/Q1344074	Qebehsenuef	Egyptian deity
http://www.wikidata.org/entity/Q684271	Hedetet	scorpion goddess of the ancient Egyptian religion
http://www.wikidata.org/entity/Q464227	Nefertem	Egyptian deity
http://www.wikidata.org/entity/Q499413	Arensnuphis	ancient Egyptian deity
http://www.wikidata.org/entity/Q1536115	Khensit	Egyptian deity
http://www.wikidata.org/entity/Q192322	Min	Egyptian deity
http://www.wikidata.org/entity/Q1598263	Amon-Min	deity
http://www.wikidata.org/entity/Q116273	Tefnut	deity of moisture, moist air, dew and rain in Ancient Egyptian religion
http://www.wikidata.org/entity/Q1069633	Neper	Egyptian god
http://www.wikidata.org/entity/Q1675477	Inmutef	Egyptian deity
http://www.wikidata.org/entity/Q268822	Mehit	ancient Egyptian lionness goddess
http://www.wikidata.org/entity/Q907685	Ash	ancient Egyptian god
http://www.wikidata.org/entity/Q1627804	Horus Behedety	deity
http://www.wikidata.org/entity/Q922680	Renenutet	ancient Egyptian goddess
http://www.wikidata.org/entity/Q1759923	Hemen	ancient Egyptian god
http://www.wikidata.org/entity/Q845626	Mafdet	ancient Egyptian goddess of protection against snakes and scorpions
http://www.wikidata.org/entity/Q1411968	Hehet	mythical character
http://www.wikidata.org/entity/Q1417365	Khor-akhti	Egyptian deity
http://www.wikidata.org/entity/Q19295	Wepset	ancient Egyptian goddess
http://www.wikidata.org/entity/Q2044276	Nehebkau	Egyptian deity
http://www.wikidata.org/entity/Q858754	Anhur	Egyptian deity of war
http://www.wikidata.org/entity/Q208150	Apis	sacred bull in Egyptian mythology
http://www.wikidata.org/entity/Q1565290	Ruti	mythical creature
http://www.wikidata.org/entity/Q417407	Aker	Egyptian deity
http://www.wikidata.org/entity/Q421672	Dedun	Egyptian deity
http://www.wikidata.org/entity/Q19302	Nebethetepet	ancient Egyptian goddess
http://www.wikidata.org/entity/Q846113	Heka	Egyptian deity
http://www.wikidata.org/entity/Q188931	Bes	Egyptian deity
http://www.wikidata.org/entity/Q211611	Anuket	Egyptian deity
http://www.wikidata.org/entity/Q2962670	Shentayet	Egyptian deity
http://www.wikidata.org/entity/Q1928490	Qetesh	Canaanite and Egyptian goddess
http://www.wikidata.org/entity/Q3575327	Zeus Ammon	ancient Egyptian deity
http://www.wikidata.org/entity/Q56635274	Beset	
http://www.wikidata.org/entity/Q55613573	Hedjhotep	minor ancient Egyptian deity, a god of fabrics and clothes and, to a lesser extent, of weaving and the deceased
http://www.wikidata.org/entity/Q190511	Apep	snake god in ancient Egyptian religion
http://www.wikidata.org/entity/Q946419	Weneg	deity
http://www.wikidata.org/entity/Q864020	Kuk	ancient Egyptian deity
http://www.wikidata.org/entity/Q3128369	Haurun	Egyptian deity
http://www.wikidata.org/entity/Q3032886	Djen	Egyptian deity
http://www.wikidata.org/entity/Q1496531	Ptireus	deity of Egyptian mythology
http://www.wikidata.org/entity/Q58373	Amun	Egyptian and Berber deity
http://www.wikidata.org/entity/Q1254764	Shai	deification of the concept of fate in Egyptian mythology
http://www.wikidata.org/entity/Q4066410	Anit	Egyptian deity
http://www.wikidata.org/entity/Q1586994	Harsomtus	Egyptian deity, son of Hathor and Horus
http://www.wikidata.org/entity/Q1418467	Ha	god of the deserts to the west of Egypt
http://www.wikidata.org/entity/Q481554	Amon-Ra	ancient Egyptian deity
http://www.wikidata.org/entity/Q2500615	Mehen	Egyptian god
http://www.wikidata.org/entity/Q2142809	Sia	deification of perception in the Heliopolitan Ennead cosmogony
http://www.wikidata.org/entity/Q604633	Heqet	Egyptian goddess
http://www.wikidata.org/entity/Q21902313	Behedety	Egyptian deity
http://www.wikidata.org/entity/Q2883702	Baq	female deity
http://www.wikidata.org/entity/Q190521	Khonsu	Egyptian deity
http://www.wikidata.org/entity/Q319989	Seker	falcon god in Egyptian religion linked to Ptah and Osiris in the underworld
http://www.wikidata.org/entity/Q363767	Harmachis	Egyptian deity
http://www.wikidata.org/entity/Q146921	Thoth	egyptian deity
http://www.wikidata.org/entity/Q29409	Mut	Egyptian deity
http://www.wikidata.org/entity/Q730953	Mandulis	Nubian deity
http://www.wikidata.org/entity/Q847958	Mehet-Weret	ancient Egyptian goddess
http://www.wikidata.org/entity/Q170471	Ma'at	Egyptian deity
http://www.wikidata.org/entity/Q194054	Qebui	Egyptian deity
http://www.wikidata.org/entity/Q1193734	Andjety	ancient Egyptian deity
